"numero","estado","numero_cuenta","comprobante_nro","Monto Total","Tasa administrativa","Tasa infraccion","medio_pago","tipo","juzgado","created_at","fecha_pago","fecha_acreditacion"
CM-002969       ,Cancelada,CAUSAF00000000789991,3.753.210,392.022,13.272,378.750,CAJA DE TESORERÍA,MOVIL,Juzgado 5,2022-09-05 10:52:40,2026-04-28 21:00:00,2026-04-28 21:00:00
CM-003039       ,Cancelada,CAUSAF00000000794075,3.724.001,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 4,2022-09-08 12:28:53,2026-03-29 21:00:00,2026-03-29 21:00:00
CM-003095       ,Cancelada,CAUSAF00000000795746,3.773.144,181.630,15.505,166.125,CAJA DE TESORERÍA,MOVIL,Juzgado 2,2022-09-12 10:43:37,2026-05-13 21:00:00,2026-05-13 21:00:00
CM-003280       ,Cancelada,CAUSAF00000000796085,3.625.381,283.699,12.649,271.050,MERCADOPAGO,MOVIL,Juzgado 1,2022-09-12 12:39:31,2026-02-05 21:00:00,2026-02-08 21:00:00
CM-003282       ,Cancelada,CAUSAF00000000796087,3.762.271,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 2,2022-09-12 12:40:12,2026-05-03 21:00:00,2026-05-03 21:00:00
CM-003319       ,Cancelada,CAUSAF00000000796175,3.615.599,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 1,2022-09-12 12:56:50,2026-01-27 21:00:00,2026-02-02 21:00:00
CM-003447       ,Cancelada,CAUSAF00000000796479,3.645.658,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-09-12 14:03:47,2026-03-02 21:00:00,2026-03-02 21:00:00
CM-003560       ,Cancelada,CAUSAF00000000797025,3.763.878,155.472,13.272,142.200,BAPRO,MOVIL,Juzgado 4,2022-09-13 05:22:32,2026-05-04 21:00:00,2026-05-10 21:00:00
CM-003674       ,Cancelada,CAUSAF00000000797144,56.058.071,283.699,13.272,270.427,SUGIT,MOVIL,Juzgado 4,2022-09-13 06:00:03,2026-03-01 21:00:00,2026-04-13 21:00:00
CM-003705       ,Cancelada,CAUSAF00000000797180,3.664.610,283.699,13.272,270.427,MERCADOPAGO,MOVIL,Juzgado 2,2022-09-13 06:12:35,2026-03-18 21:00:00,2026-03-19 21:00:00
CM-003785       ,Cancelada,CAUSAF00000000797263,3.722.213,155.472,13.272,142.200,BAPRO,MOVIL,Juzgado 5,2022-09-13 06:31:09,2026-03-29 21:00:00,2026-04-06 21:00:00
CM-003811       ,Cancelada,CAUSAF00000000797289,3.731.017,155.472,13.272,142.200,MERCADOPAGO,MOVIL,Juzgado 3,2022-09-13 06:35:45,2026-04-12 21:00:00,2026-04-13 21:00:00
CM-003840       ,Cancelada,CAUSAF00000000797319,3.657.953,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-09-13 06:41:41,2026-03-11 21:00:00,2026-03-11 21:00:00
CM-003882       ,Cancelada,CAUSAF00000000797362,3.594.826,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 2,2022-09-13 06:50:09,2026-01-26 21:00:00,2026-01-26 21:00:00
CM-003923       ,Cancelada,CAUSAF00000000797399,3.592.054,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 3,2022-09-13 06:58:16,2026-01-12 21:00:00,2026-01-18 21:00:00
CM-003942       ,Cancelada,CAUSAF00000000797417,3.728.775,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 1,2022-09-13 07:04:36,2026-03-30 21:00:00,2026-03-30 21:00:00
CM-003946       ,Cancelada,CAUSAF00000000797421,3.712.736,155.472,13.272,142.200,BAPRO,MOVIL,Juzgado 3,2022-09-13 07:06:26,2026-03-29 21:00:00,2026-04-06 21:00:00
CM-003958       ,Cancelada,CAUSAF00000001945585,3.761.772,106.518,9093,97.425,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-09-13 07:09:23,2026-05-03 21:00:00,2026-05-03 21:00:00
CM-004064       ,Cancelada,CAUSAF00000000797533,3.582.530,140.302,11.977,128.325,BAPRO,MOVIL,Juzgado 3,2022-09-13 07:32:50,2026-01-11 21:00:00,2026-01-15 21:00:00
CM-004067       ,Cancelada,CAUSAF00000000797536,3.634.793,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 1,2022-09-13 07:33:33,2026-02-17 21:00:00,2026-02-23 21:00:00
CM-004184       ,Cancelada,CAUSAF00000000797653,3.650.703,57.824,12.649,45.175,BAPRO,MOVIL,Juzgado 5,2022-09-13 07:50:54,2026-03-05 21:00:00,2026-03-11 21:00:00
CM-004199       ,Cancelada,CAUSAF00000000797668,3.613.992,283.699,12.649,271.050,CAJA DE TESORERÍA,MOVIL,Juzgado 4,2022-09-13 07:52:31,2026-02-01 21:00:00,2026-02-01 21:00:00
CM-004250       ,Cancelada,CAUSAF00000000797720,3.748.473,57.824,12.649,45.175,CAJA DE TESORERÍA,MOVIL,Juzgado 5,2022-09-13 07:59:35,2026-04-22 21:00:00,2026-04-22 21:00:00
CM-004386       ,Cancelada,CAUSAF00000000797861,3.563.235,696.377,11.977,684.400,BANCO PROVINCIA,MOVIL,Juzgado 5,2022-09-13 08:18:45,2026-01-08 21:00:00,2026-01-12 21:00:00
CM-004395       ,Cancelada,CAUSAF00000000797871,3.618.085,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 4,2022-09-13 08:20:17,2026-01-28 21:00:00,2026-01-28 21:00:00
CM-004419       ,Cancelada,CAUSAF00000000797895,3.660.462,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 4,2022-09-13 08:25:30,2026-03-15 21:00:00,2026-03-15 21:00:00
CM-004424       ,Cancelada,CAUSAF00000000797900,3.746.210,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-09-13 08:26:17,2026-04-20 21:00:00,2026-04-20 21:00:00
CM-004519       ,Cancelada,CAUSAF00000000797999,3.749.218,155.472,13.272,142.200,BAPRO,MOVIL,Juzgado 1,2022-09-13 08:43:07,2026-04-22 21:00:00,2026-04-28 21:00:00
CM-004522       ,Cancelada,CAUSAF00000000798003,3.732.681,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-09-13 08:46:13,2026-04-07 21:00:00,2026-04-07 21:00:00
CM-004648       ,Cancelada,CAUSAF00000000798128,3.731.741,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 5,2022-09-13 09:15:48,2026-04-06 21:00:00,2026-04-06 21:00:00
CM-004651       ,Cancelada,CAUSAF00000000798131,3.618.656,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 4,2022-09-13 09:16:04,2026-01-28 21:00:00,2026-02-03 21:00:00
CM-004652       ,Cancelada,CAUSAF00000000798132,3.614.446,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-09-13 09:16:17,2026-01-25 21:00:00,2026-01-25 21:00:00
CM-004716       ,Cancelada,CAUSAF00000000798196,3.593.779,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 2,2022-09-13 09:28:02,2026-01-14 21:00:00,2026-01-14 21:00:00
CM-004722       ,Cancelada,CAUSAF00000000798202,3.600.795,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 1,2022-09-13 09:29:02,2026-01-22 21:00:00,2026-01-28 21:00:00
CM-004777       ,Cancelada,CAUSAF00000000798262,3.650.707,509.574,12.649,496.925,CAJA DE TESORERÍA,MOVIL,Juzgado 2,2022-09-13 09:39:52,2026-03-31 21:00:00,2026-03-31 21:00:00
CM-004797       ,Cancelada,CAUSAF00000000798282,3.595.229,148.174,12.649,135.525,MERCADOPAGO,MOVIL,Juzgado 1,2022-09-13 09:44:09,2026-01-15 21:00:00,2026-01-18 21:00:00
CM-004811       ,Cancelada,CAUSAF00000000798296,3.762.816,227.147,13.272,213.875,CAJA DE TESORERÍA,MOVIL,Juzgado 2,2022-09-13 09:47:57,2026-05-03 21:00:00,2026-05-03 21:00:00
CM-004814       ,Cancelada,CAUSAF00000000798300,3.650.505,1.039.249,12.649,1.026.600,CAJA DE TESORERÍA,MOVIL,Juzgado 1,2022-09-13 09:49:06,2026-03-05 21:00:00,2026-03-05 21:00:00
CM-004891       ,Cancelada,CAUSAF00000000798380,3.760.826,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 5,2022-09-13 10:04:01,2026-04-29 21:00:00,2026-04-29 21:00:00
CM-004905       ,Cancelada,CAUSAF00000000798394,3.766.745,155.472,15.505,139.967,MERCADOPAGO,MOVIL,Juzgado 3,2022-09-13 10:06:26,2026-05-05 21:00:00,2026-05-06 21:00:00
CM-005012       ,Cancelada,CAUSAF00000000798503,3.645.195,1.142.024,12.649,1.129.375,CAJA DE TESORERÍA,MOVIL,Juzgado 1,2022-09-13 10:25:51,2026-03-01 21:00:00,2026-03-01 21:00:00
CM-005060       ,Cancelada,CAUSAF00000000798558,3.622.114,419.224,12.649,406.575,CAJA DE TESORERÍA,MOVIL,Juzgado 5,2022-09-13 10:33:30,2026-02-02 21:00:00,2026-02-02 21:00:00
CM-005127       ,Cancelada,CAUSAF00000000798627,3.773.015,181.630,15.505,166.125,CAJA DE TESORERÍA,MOVIL,Juzgado 1,2022-09-13 10:42:26,2026-05-13 21:00:00,2026-05-13 21:00:00
CM-005253       ,Cancelada,CAUSAF00000000798758,3.592.853,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 1,2022-09-13 11:00:47,2026-01-13 21:00:00,2026-01-19 21:00:00
CM-005255       ,Cancelada,CAUSAF00000000798760,56.049.995,283.699,13.272,270.427,SUGIT,MOVIL,Juzgado 2,2022-09-13 11:01:10,2026-02-25 21:00:00,2026-03-12 21:00:00
CM-005256       ,Cancelada,CAUSAF00000000798762,3.621.982,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 4,2022-09-13 11:01:15,2026-03-18 21:00:00,2026-03-18 21:00:00
CM-005404       ,Cancelada,CAUSAF00000000798914,3.661.316,297.672,13.272,284.400,CAJA DE TESORERÍA,MOVIL,Juzgado 4,2022-09-13 11:21:10,2026-03-16 21:00:00,2026-03-16 21:00:00
CM-005421       ,Cancelada,CAUSAF00000000798932,3.773.054,181.630,15.505,166.125,CAJA DE TESORERÍA,MOVIL,Juzgado 1,2022-09-13 11:24:00,2026-05-13 21:00:00,2026-05-13 21:00:00
CM-005446       ,Cancelada,CAUSAF00000000798960,3.731.246,155.472,13.272,142.200,PAGO FÁCIL,MOVIL,Juzgado 1,2022-09-13 11:26:35,2026-04-05 21:00:00,2026-04-09 21:00:00
CM-005541       ,Cancelada,CAUSAF00000000799055,56.018.637,283.699,13.272,270.427,SUGIT,MOVIL,Juzgado 4,2022-09-13 11:39:20,2026-02-11 21:00:00,2026-03-12 21:00:00
CM-005565       ,Cancelada,CAUSAF00000000799080,3.616.388,148.174,12.649,135.525,MERCADOPAGO,MOVIL,Juzgado 1,2022-09-13 11:42:28,2026-01-27 21:00:00,2026-01-28 21:00:00
CM-005590       ,Cancelada,CAUSAF00000000799105,3.746.418,297.672,13.272,284.400,CAJA DE TESORERÍA,MOVIL,Juzgado 4,2022-09-13 11:46:21,2026-04-20 21:00:00,2026-04-20 21:00:00
CM-005658       ,Cancelada,CAUSAF00000000799180,3.592.539,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 5,2022-09-13 11:54:24,2026-01-13 21:00:00,2026-01-13 21:00:00
CM-005718       ,Cancelada,CAUSAF00000000799244,3.638.252,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 5,2022-09-13 12:02:12,2026-02-22 21:00:00,2026-02-26 21:00:00
CM-005730       ,Cancelada,CAUSAF00000000799260,3.769.945,155.472,15.505,139.967,MERCADOPAGO,MOVIL,Juzgado 5,2022-09-13 12:03:36,2026-05-10 21:00:00,2026-05-11 21:00:00
CM-005748       ,Cancelada,CAUSAF00000000799281,3.717.816,155.472,13.272,142.200,BAPRO,MOVIL,Juzgado 2,2022-09-13 12:05:27,2026-03-29 21:00:00,2026-04-06 21:00:00
CM-005825       ,Cancelada,CAUSAF00000000799366,3.661.573,155.472,13.272,142.200,BAPRO,MOVIL,Juzgado 1,2022-09-13 12:15:33,2026-03-16 21:00:00,2026-03-24 21:00:00
CM-005990       ,Cancelada,CAUSAF00000000799539,3.596.198,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-09-13 12:43:36,2026-03-10 21:00:00,2026-03-10 21:00:00
CM-006026       ,Cancelada,CAUSAF00000000799576,3.645.841,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 2,2022-09-13 12:48:48,2026-03-02 21:00:00,2026-03-02 21:00:00
CM-006068       ,Cancelada,CAUSAF00000000799619,3.746.024,297.672,13.272,284.400,BAPRO,MOVIL,Juzgado 2,2022-09-13 12:52:49,2026-04-20 21:00:00,2026-04-26 21:00:00
CM-006113       ,Cancelada,CAUSAF00000000799667,3.555.265,140.302,11.977,128.325,RAPIPAGO,MOVIL,Juzgado 4,2022-09-13 12:59:22,2026-01-20 21:00:00,2026-01-27 21:00:00
CM-006121       ,Cancelada,CAUSAF00000000799675,3.735.898,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 2,2022-09-13 13:00:11,2026-04-13 21:00:00,2026-04-13 21:00:00
CM-006321       ,Cancelada,CAUSAF00000000800874,3.762.450,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-09-14 04:32:50,2026-05-03 21:00:00,2026-05-03 21:00:00
CM-006569       ,Cancelada,CAUSAF00000000801122,3.627.176,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 4,2022-09-14 05:27:36,2026-02-08 21:00:00,2026-02-08 21:00:00
CM-006581       ,Cancelada,CAUSAF00000000801134,3.596.006,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-09-14 05:29:28,2026-01-18 21:00:00,2026-01-18 21:00:00
CM-006637       ,Cancelada,CAUSAF00000000801193,3.618.565,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 1,2022-09-14 05:36:26,2026-01-28 21:00:00,2026-01-28 21:00:00
CM-006748       ,Cancelada,CAUSAF00000000801313,3.737.564,155.472,13.272,142.200,MERCADOPAGO,MOVIL,Juzgado 4,2022-09-14 05:51:48,2026-04-15 21:00:00,2026-04-16 21:00:00
CM-006909       ,Cancelada,CAUSAF00000000801475,3.731.983,155.472,13.272,142.200,BAPRO,MOVIL,Juzgado 2,2022-09-14 06:39:38,2026-04-12 21:00:00,2026-04-16 21:00:00
CM-006982       ,Cancelada,CAUSAF00000000801552,3.637.376,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 2,2022-09-14 07:00:15,2026-02-19 21:00:00,2026-02-25 21:00:00
CM-007053       ,Cancelada,CAUSAF00000000801623,56.011.160,"260.326,5",13.272,"247.054,5",SUGIT,MOVIL,Juzgado 2,2022-09-14 07:23:19,2026-02-09 21:00:00,2026-03-12 21:00:00
CM-007165       ,Cancelada,CAUSAF00000000801751,3.766.449,265.772,13.272,252.500,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-09-14 07:55:44,2026-05-05 21:00:00,2026-05-05 21:00:00
CM-007304       ,Cancelada,CAUSAF00000000801920,3.614.040,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 4,2022-09-14 08:37:38,2026-01-28 21:00:00,2026-01-28 21:00:00
CM-007403       ,Cancelada,CAUSAF00000000802026,3.567.997,183.077,11.977,171.100,CAJA DE TESORERÍA,MOVIL,Juzgado 1,2022-09-14 09:08:15,2026-01-29 21:00:00,2026-01-29 21:00:00
CM-007437       ,Cancelada,CAUSAF00000000802061,3.746.897,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-09-14 09:19:31,2026-04-21 21:00:00,2026-04-21 21:00:00
CM-007487       ,Cancelada,CAUSAF00000000802135,3.751.331,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 2,2022-09-14 09:36:16,2026-04-26 21:00:00,2026-04-26 21:00:00
CM-007741       ,Cancelada,CAUSAF00000000802400,3.597.116,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 2,2022-09-14 10:54:17,2026-01-19 21:00:00,2026-01-25 21:00:00
CM-007745       ,Cancelada,CAUSAF00000000802404,3.731.790,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 2,2022-09-14 10:55:07,2026-04-12 21:00:00,2026-04-12 21:00:00
CM-007794       ,Cancelada,CAUSAF00000000805191,3.763.475,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 1,2022-09-19 11:16:59,2026-05-04 21:00:00,2026-05-04 21:00:00
CM-007812       ,Cancelada,CAUSAF00000000805213,3.597.169,109.552,9352,100.200,RAPIPAGO,MOVIL,Juzgado 1,2022-09-19 11:19:37,2026-01-19 21:00:00,2026-01-26 21:00:00
CM-007881       ,Cancelada,CAUSAF00000000805316,3.733.503,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 4,2022-09-19 11:33:24,2026-04-08 21:00:00,2026-04-08 21:00:00
CM-007925       ,Cancelada,CAUSAF00000000805360,3.589.561,140.302,11.977,128.325,CAJA DE TESORERÍA,MOVIL,Juzgado 5,2022-09-19 11:37:56,2026-01-08 21:00:00,2026-01-08 21:00:00
CM-007965       ,Cancelada,CAUSAF00000000805404,3.763.660,629.472,13.272,616.200,CAJA DE TESORERÍA,MOVIL,Juzgado 2,2022-09-19 11:42:15,2026-05-04 21:00:00,2026-05-04 21:00:00
CM-007986       ,Cancelada,CAUSAF00000000805426,3.751.530,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 2,2022-09-19 11:44:24,2026-04-26 21:00:00,2026-04-26 21:00:00
CM-008010       ,Cancelada,CAUSAF00000000805454,3.645.678,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 5,2022-09-19 11:47:31,2026-03-04 21:00:00,2026-03-04 21:00:00
CM-008105       ,Cancelada,CAUSAF00000000805553,3.619.204,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-09-19 11:58:26,2026-01-29 21:00:00,2026-01-29 21:00:00
CM-008137       ,Cancelada,CAUSAF00000000805587,3.761.997,155.472,13.272,142.200,BAPRO,MOVIL,Juzgado 4,2022-09-19 12:01:33,2026-05-03 21:00:00,2026-05-07 21:00:00
CM-008157       ,Cancelada,CAUSAF00000000805607,3.625.531,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 2,2022-09-19 12:03:43,2026-02-05 21:00:00,2026-02-05 21:00:00
CM-008219       ,Cancelada,CAUSAF00000000805673,3.683.115,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 4,2022-09-19 12:10:19,2026-03-29 21:00:00,2026-03-29 21:00:00
CM-008361       ,Cancelada,CAUSAF00000000805817,3.661.572,155.472,13.272,142.200,BAPRO,MOVIL,Juzgado 1,2022-09-19 12:24:48,2026-03-16 21:00:00,2026-03-24 21:00:00
CM-008363       ,Cancelada,CAUSAF00000000805819,3.586.373,140.302,11.977,128.325,PAGO FÁCIL,MOVIL,Juzgado 2,2022-09-19 12:25:15,2026-02-27 21:00:00,2026-03-04 21:00:00
CM-008388       ,Cancelada,CAUSAF00000000805849,3.747.161,155.472,13.272,142.200,MERCADOPAGO,MOVIL,Juzgado 1,2022-09-19 12:28:27,2026-04-21 21:00:00,2026-04-22 21:00:00
CM-008393       ,Cancelada,CAUSAF00000000805855,3.637.150,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 1,2022-09-19 12:28:50,2026-02-26 21:00:00,2026-02-26 21:00:00
CM-008503       ,Cancelada,CAUSAF00000000805980,3.736.827,297.672,13.272,284.400,MERCADOPAGO,MOVIL,Juzgado 4,2022-09-19 12:41:24,2026-04-14 21:00:00,2026-04-15 21:00:00
CM-008518       ,Cancelada,CAUSAF00000000805995,3.744.968,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 2,2022-09-19 12:42:45,2026-04-19 21:00:00,2026-04-19 21:00:00
CM-008588       ,Cancelada,CAUSAF00000000806071,3.752.897,155.472,13.272,142.200,MERCADOPAGO,MOVIL,Juzgado 4,2022-09-19 12:52:30,2026-04-27 21:00:00,2026-04-28 21:00:00
